Date,Stock,Benchmark,Volume,Abnormal,Beta,Volatility,EventDay,CAR
2018-03-26,0.0691713922881767,0.02715725576151251,16985700.0,0.04201413652666419,,,0,0.04201413652666419
2018-03-27,-0.0180624345034035,-0.017276308813847896,6911000.0,-0.0007861256895556057,,,1,0.041228010837108586
2018-03-28,0.03612039924698651,-0.00291665716625622,5113300.0,0.03903705641324273,,,2,0.08026506725035132
2018-03-29,0.008715315098554832,0.013769718690019195,15800200.0,-0.005054403591464363,,,3,0.07521066365888696
2018-04-02,-0.03967999267578126,-0.022337423560165104,5907700.0,-0.017342569115616158,,,4,0.0578680945432708
2018-04-03,0.052649114017181864,0.012614865848792123,4305300.0,0.04003424816838974,,,5,0.09790234271166054
2018-04-04,-0.023425127177707283,0.01156648273982852,2951200.0,-0.034991609917535804,,,6,0.06291073279412474
2018-04-05,-0.010210714105754914,0.0068628636575538415,2734400.0,-0.017073577763308756,,,7,0.04583715503081598
2018-04-06,-0.009661047249651333,-0.021920248779842444,1626700.0,0.01225920153019111,,,8,0.05809635656100709
2018-04-09,-0.0033068909466472673,0.0033365488963206236,1128800.0,-0.006643439842967891,,,9,0.0514529167180392
2018-04-10,0.036164571156635406,0.0167269537832615,2470300.0,0.019437617373373905,,,10,0.0708905340914131
2018-04-11,0.034902342893529115,-0.005525364482924067,2391500.0,0.04042770737645318,,,11,0.11131824146786629
2018-04-12,0.02939358823977911,0.008250750063987677,5592300.0,0.021142838175791434,,,12,0.13246107964365772
2018-04-13,-0.09828675722186853,-0.0028866254882486952,8525200.0,-0.09540013173361983,,,13,0.03706094791003789
2018-04-16,-0.03266665140787761,0.008109038386684864,5727900.0,-0.040775689794562475,,,14,-0.003714741884524586
2018-04-17,0.027911766132508342,0.010661504701720004,3438400.0,0.01725026143078834,,,15,0.013535519546263752
2018-04-18,0.024471992762433503,0.0008313658006817715,2968200.0,0.02364062696175173,,,16,0.037176146508015484
2018-04-19,-0.021596854023104517,-0.005726124690152989,1575900.0,-0.015870729332951528,,,17,0.021305417175063956
2018-04-20,-0.032775904840780745,-0.00853653230061302,1742500.0,-0.024239372540167725,,,18,-0.0029339553651037686
2018-04-23,0.006569866305545569,5.623169212687351e-05,1468100.0,0.006513634613418695,,0.6159835726169217,19,0.0035796792483149265
2018-04-24,-0.0058399200525435235,-0.01338056164164636,1495200.0,0.007540641589102837,,0.5624214692759113,20,0.011120320837417763
