Date,Stock,Benchmark,Volume,Abnormal,Beta,Volatility,EventDay,CAR
2020-09-17,-0.10392627948973043,-0.008412365876402483,11907500.0,-0.09551391361332795,,,0,-0.09551391361332795
2020-09-18,0.0547596338292875,-0.011182581807410497,7475400.0,0.065942215636698,,,1,-0.02957169797662995
2020-09-21,-0.046458307902018214,-0.011571097930805796,5524900.0,-0.03488720997121242,,,2,-0.06445890794784237
2020-09-22,0.027572634434362087,0.010517945160813724,3889100.0,0.017054689273548362,,,3,-0.04740421867429401
2020-09-23,-0.07556558936779845,-0.023721455093028143,5851900.0,-0.051844134274770304,,,4,-0.09924835294906431
2020-09-24,0.04301028625864589,0.0029874591429570607,4822000.0,0.04002282711568883,,,5,-0.05922552583337548
2020-09-25,0.00996733903185909,0.0159767237756141,1985500.0,-0.0060093847437550085,,,6,-0.06523491057713049
2020-09-28,0.09349346577340345,0.016110590199083896,4241900.0,0.07738287557431955,,,7,0.012147964997189065
2020-09-29,0.03482289482519807,-0.0048126645432444715,5290600.0,0.03963555936844254,,,8,0.051783524365631606
2020-09-30,-0.031374231967035926,0.008253718228220741,5418900.0,-0.03962795019525667,,,9,0.012155574170374939
2020-10-01,-0.030039813888975364,0.005292907769290922,3977400.0,-0.035332721658266286,,,10,-0.023177147487891347
2020-10-02,-0.06719789763901174,-0.009577652178616392,2726200.0,-0.05762024546039535,,,11,-0.0807973929482867
2020-10-05,0.056803142006981444,0.01797270867614209,2362100.0,0.03883043333083935,,,12,-0.04196695961744734
2020-10-06,0.021250025431315045,-0.013973515692226712,1572800.0,0.03522354112354176,,,13,-0.006743418493905584
2020-10-07,0.0036719456306510967,0.01739675486921799,1682800.0,-0.013724809238566893,,,14,-0.020468227732472477
2020-10-08,-0.023617876254446113,0.008010123642494982,1343800.0,-0.031627999896941095,,,15,-0.05209622762941357
2020-10-09,-0.009117791827911281,0.00879353312061526,1728000.0,-0.01791132494852654,,,16,-0.07000755257794011
2020-10-12,0.02508403874245002,0.01641581296364758,3138900.0,0.00866822577880244,,,17,-0.06133932679913767
2020-10-13,0.02311759380837275,-0.006306918994084421,1462400.0,0.02942451280245717,,,18,-0.0319148139966805
2020-10-14,-0.02576021761486924,-0.006623141753502759,1707500.0,-0.01913707586136648,,0.7884781296020545,19,-0.051051889858046984
2020-10-15,-0.008964523157493964,-0.0015277553060997207,1843600.0,-0.007436767851394244,,0.6899196116110881,20,-0.05848865770944123
