Date,Stock,Benchmark,Volume,Abnormal,Beta,Volatility,EventDay,CAR
2021-11-11,0.22098673448821748,0.0005509400447352153,83668200.0,0.22043579444348227,,,0,0.22043579444348227
2021-11-12,0.05658996020295848,0.007222656026415475,50636800.0,0.049367304176543,,,1,0.2698030986200253
2021-11-15,0.14936517212724665,-1.0739820344718431e-05,64982300.0,0.14937591194759137,,,2,0.41917901056761664
2021-11-16,0.1516469858323941,0.003865229864862485,94036600.0,0.14778175596753163,,,3,0.5669607665351483
2021-11-17,-0.1508051160456626,-0.002601625374463401,71765600.0,-0.1482034906711992,,,4,0.41875727586394906
2021-11-18,-0.15533654366455774,0.0033847802152713324,63603600.0,-0.15872132387982907,,,5,0.26003595198412
2021-11-19,0.04230838844465157,-0.001398665559303236,49479400.0,0.043707054003954804,,,6,0.3037430059880748
2021-11-22,-0.08157080089654278,-0.0031971365563219223,40993900.0,-0.07837366434022086,,,7,0.22536934164785394
2021-11-23,0.014732011301141545,0.001657132912945114,24967900.0,0.013074878388196431,,,8,0.23844422003605037
2021-11-24,-0.04171881571679481,0.0022938506357221833,11539200.0,-0.044012666352516994,,,9,0.19443155368353338
2021-11-26,-0.023683075810540966,-0.022724822637582465,9871200.0,-0.0009582531729585009,,,10,0.19347330051057487
2021-11-29,0.06813519643973365,0.013200199537034996,13923900.0,0.05493499690269865,,,11,0.24840829741327353
2021-11-30,-8.344750034283699e-05,-0.01896131033450521,20204900.0,0.018877862834162373,,,12,0.2672861602474359
2021-12-01,-0.03398463278411168,-0.011815187417889228,13289700.0,-0.02216944536622245,,,13,0.24511671488121345
2021-12-02,-0.04252749325363436,0.01419443613158311,10835500.0,-0.05672192938521747,,,14,0.18839478549599598
2021-12-03,-0.05506904991409445,-0.008448563730297565,13819200.0,-0.04662048618379688,,,15,0.1417742993121991
2021-12-06,0.11569696018151365,0.011730872577451423,19725400.0,0.10396608760406223,,,16,0.24574038691626132
2021-12-07,-0.005137853060394604,0.020707080374404274,12173300.0,-0.025844933434798878,,,17,0.21989545348146244
2021-12-08,0.05112758156139918,0.0030852853123166657,12816000.0,0.04804229624908252,,,18,0.26793774973054496
2021-12-09,-0.055027850225717545,-0.007181080169894716,8474800.0,-0.04784677005582283,,1.5550587661854856,19,0.22009097967472213
2021-12-10,-0.006412459739903786,0.009549073338481762,8387500.0,-0.015961533078385548,,1.3434313863188618,20,0.20412944659633658
