Date,Stock,Benchmark,Volume,Abnormal,Beta,Volatility,EventDay,CAR
2014-09-22,-0.042603015477900574,-0.00801332329681892,66657800.0,-0.034589692181081655,,,0,-0.034589692181081655
2014-09-23,-0.03025929545817474,-0.0057765015647701645,39009800.0,-0.024482793893404575,,,1,-0.05907248607448623
2014-09-24,0.039004341237075746,0.00783249148610099,32088000.0,0.031171849750974756,,,2,-0.027900636323511474
2014-09-25,-0.018218051573356986,-0.016168772358634453,28598000.0,-0.0020492792147225325,,,3,-0.029949915538234007
2014-09-26,0.01731904569959708,0.008575824615237426,18340000.0,0.008743221084359654,,,4,-0.021206694453874353
2014-09-29,-0.018903399190211112,-0.002546802239196233,25302000.0,-0.01635659695101488,,,5,-0.03756329140488923
2014-09-30,0.0011266506874598736,-0.002785928622506484,24419400.0,0.0039125793099663575,,,6,-0.033650712094922874
2014-10-01,-0.030951004904488766,-0.013248560995234304,24029600.0,-0.01770244390925446,,,7,-0.051353156004177336
2014-10-02,0.011149822011518928,5.143341477165109e-06,21469700.0,0.011144678670041763,,,8,-0.04020847733413557
2014-10-03,0.011945818328391145,0.0111655096821337,18485700.0,0.0007803086462574438,,,9,-0.03942816868787813
2014-10-06,0.0023836288404204264,-0.0015651598591330806,9268400.0,0.003948788699553507,,,10,-0.03547937998832462
2014-10-07,-0.0072472247136150525,-0.015126053030587783,12791700.0,0.00787882831697273,,,11,-0.02760055167135189
2014-10-08,0.0071861404844146826,0.017461650296527242,10252600.0,-0.01027550981211256,,,12,-0.03787606148346445
2014-10-09,0.005549322143670654,-0.02066141501469354,21507000.0,0.026210737158364195,,,13,-0.011665324325100257
2014-10-10,-0.03277408175120633,-0.011451012338901223,15431400.0,-0.021323069412305107,,,14,-0.032988393737405364
2014-10-13,-0.00884950460822398,-0.016467929557809624,14845000.0,0.007618424949585645,,,15,-0.02536996878781972
2014-10-14,-0.0019971806146794613,0.0015788647774723774,15559200.0,-0.0035760453921518387,,,16,-0.028946014179971558
2014-10-15,0.0076516041316188055,-0.008100314924121665,16824300.0,0.01575191905574047,,,17,-0.013194095124231087
2014-10-16,0.03796713915593153,0.0001449777086941495,15232000.0,0.03782216144723738,,,18,0.024628066323006292
2014-10-17,-0.010579504998737388,0.012884107385910504,17360700.0,-0.02346361238464789,,0.34912193889780085,19,0.0011644539383584007
2014-10-20,0.003981270782309032,0.00914265720638352,9891400.0,-0.005161386424074488,,0.3167955164002588,20,-0.003996932485716087
