Date,Stock,Benchmark,Volume,Abnormal,Beta,Volatility,EventDay,CAR
2021-04-15,-0.01684537224278082,0.01109419052516647,39777900.0,-0.02793956276794729,,,0,-0.02793956276794729
2021-04-16,0.05964368706429135,0.0036088195555097347,22654500.0,0.056034867508781616,,,1,0.028095304740834326
2021-04-19,-0.02631578947368418,-0.005306560094486046,11405600.0,-0.021009229379198135,,,2,0.0070860753616361905
2021-04-20,-0.03657655458192566,-0.006802319771775922,18082300.0,-0.029774234810149736,,,3,-0.022688159448513545
2021-04-21,-0.027741392972072676,0.009306055472153574,10103900.0,-0.03704744844422625,,,4,-0.059735607892739795
2021-04-22,-0.059213902364691484,-0.009210657476561801,14991900.0,-0.05000324488812968,,,5,-0.10973885278086948
2021-04-23,-0.006304331322400603,0.010928696540176919,9853800.0,-0.01723302786257752,,,6,-0.126971880643447
2021-04-26,0.04437586478243305,0.001782270924804541,6330200.0,0.04259359385762851,,,7,-0.08437828678581849
2021-04-27,-0.008340475713052964,-0.00021489588801437698,3902000.0,-0.008125579825038587,,,8,-0.09250386661085708
2021-04-28,-0.013079510619308787,-0.0008455399168898481,2746100.0,-0.01223397070241894,,,9,-0.10473783731327602
2021-04-29,-0.011004861310630942,0.006762806734045723,2845800.0,-0.017767668044676665,,,10,-0.12250550535795268
2021-04-30,0.009736491982677675,-0.007194706699326425,3997400.0,0.0169311986820041,,,11,-0.10557430667594858
2021-05-03,-0.011524066068236194,0.002748090747253684,3333800.0,-0.014272156815489878,,,12,-0.11984646349143846
2021-05-04,-0.0460554984076319,-0.006678337608227225,5707700.0,-0.039377160799404676,,,13,-0.15922362429084314
2021-05-05,-0.027292822497541724,0.0007034637617677753,5074600.0,-0.0279962862593095,,,14,-0.18721991055015264
2021-05-06,-0.05948714371565933,0.008165456466051824,8342000.0,-0.06765260018171115,,,15,-0.2548725107318638
2021-05-07,0.02702914074407925,0.007373341616968343,4243700.0,0.019655799127110907,,,16,-0.23521671160475288
2021-05-10,0.11281759053026974,-0.010435647322188157,10268600.0,0.1232532378524579,,,17,-0.11196347375229498
2021-05-11,0.03254383164322783,-0.00867391280271812,7456000.0,0.04121774444594595,,,18,-0.07074572930634904
2021-05-12,-0.06399344768461224,-0.021449400664502738,7214200.0,-0.0425440470201095,,0.700039386571344,19,-0.11328977632645854
2021-05-13,-0.06526561194628577,0.012173141406923493,11226800.0,-0.07743875335320927,,0.7300932065906856,20,-0.1907285296796678
