Date,Stock,Benchmark,Volume,Abnormal,Beta,Volatility,EventDay,CAR
2020-10-01,-0.004210522300318709,0.005292907769290922,124297600.0,-0.00950343006960963,,,0,-0.00950343006960963
2020-10-02,-0.027484167847082297,-0.009577652178616392,55018300.0,-0.017906515668465905,,,1,-0.027409945738075536
2020-10-05,-0.01847826954547782,0.01797270867614209,36316900.0,-0.03645097822161991,,,2,-0.06386092395969545
2020-10-06,0.09634550512581486,-0.013973515692226712,90864000.0,0.11031902081804157,,,3,0.04645809685834612
2020-10-07,0.010101049022522401,0.01739675486921799,54672400.0,-0.007295705846695588,,,4,0.03916239101165053
2020-10-08,0.0,0.008010123642494982,34989200.0,-0.008010123642494982,,,5,0.03115226736915555
2020-10-09,-0.00500001907348635,0.00879353312061526,19653500.0,-0.01379355219410161,,,6,0.01735871517505394
2020-10-12,-0.0060300971952294,0.01641581296364758,20623600.0,-0.02244591015887698,,,7,-0.00508719498382304
2020-10-13,-0.042467144763802644,-0.006306918994084421,21847200.0,-0.036160225769718224,,,8,-0.041247420753541264
2020-10-14,-0.013727572415550227,-0.006623141753502759,13652600.0,-0.007104430662047467,,,9,-0.04835185141558873
2020-10-15,0.06102780358802096,-0.0015277553060997207,12924100.0,0.06255555889412068,,,10,0.014203707478531946
2020-10-16,-0.020181615776448725,0.00013491955745537076,11142500.0,-0.020316535333904095,,,11,-0.006112827855372149
2020-10-19,-0.014418160944669856,-0.016329861778318078,9126400.0,0.0019117008336482222,,,12,-0.004201127021723927
2020-10-20,-0.03134788366010055,0.004727334073110212,11138200.0,-0.03607521773321076,,,13,-0.04027634475493469
2020-10-21,-0.007551310144748635,-0.0021956999281005363,9190000.0,-0.005355610216648099,,,14,-0.04563195497158279
2020-10-22,0.05217396802848251,0.005218925396392127,17928600.0,0.04695504263209038,,,15,0.0013230876605075936
2020-10-23,-0.019628153725989694,0.003445761353703114,12618000.0,-0.02307391507969281,,,16,-0.021750827419185215
2020-10-26,0.04847208105809808,-0.018589516294535646,23767300.0,0.06706159735263373,,,17,0.045310769933448514
2020-10-27,0.1005025144893803,-0.0030256189119989285,53695900.0,0.10352813340137923,,,18,0.14883890333482774
2020-10-28,-0.009132367994271307,-0.035287878760604796,30941700.0,0.02615551076633349,,0.6561735912528115,19,0.17499441410116123
2020-10-29,-0.009216624696208542,0.011947330894238384,20515700.0,-0.021163955590446926,,0.6575923996541228,20,0.1538304585107143
