date;price;ticker
2025-03-04;2909.60009765625;GC=F
2025-03-05;2915.300048828125;GC=F
2025-03-06;2916.60009765625;GC=F
2025-03-07;2904.699951171875;GC=F
2025-03-10;2891.0;GC=F
2025-03-11;2912.89990234375;GC=F
2025-03-12;2939.10009765625;GC=F
2025-03-13;2984.300048828125;GC=F
2025-03-14;2994.5;GC=F
2025-03-17;3000.0;GC=F
2025-03-18;3035.10009765625;GC=F
2025-03-19;3035.89990234375;GC=F
2025-03-20;3040.0;GC=F
2025-03-21;3018.199951171875;GC=F
2025-03-24;3013.10009765625;GC=F
2025-03-25;3023.699951171875;GC=F
2025-03-26;3020.89990234375;GC=F
2025-03-27;3060.199951171875;GC=F
2025-03-28;3086.5;GC=F
2025-03-31;3122.800048828125;GC=F
2025-04-01;3118.89990234375;GC=F
2025-04-02;3139.89990234375;GC=F
2025-04-03;3097.0;GC=F
2025-04-04;3012.0;GC=F
2025-04-07;3000.0;GC=F
2025-03-04;68.26000213623047;CL=F
2025-03-05;66.30999755859375;CL=F
2025-03-06;66.36000061035156;CL=F
2025-03-07;67.04000091552734;CL=F
2025-03-10;66.02999877929688;CL=F
2025-03-11;66.25;CL=F
2025-03-12;67.68000030517578;CL=F
2025-03-13;66.55000305175781;CL=F
2025-03-14;67.18000030517578;CL=F
2025-03-17;67.58000183105469;CL=F
2025-03-18;66.9000015258789;CL=F
2025-03-19;67.16000366210938;CL=F
2025-03-20;68.26000213623047;CL=F
2025-03-21;68.27999877929688;CL=F
2025-03-24;69.11000061035156;CL=F
2025-03-25;69.0;CL=F
2025-03-26;69.6500015258789;CL=F
2025-03-27;69.91999816894531;CL=F
2025-03-28;69.36000061035156;CL=F
2025-03-31;71.4800033569336;CL=F
2025-04-01;71.19999694824219;CL=F
2025-04-02;71.70999908447266;CL=F
2025-04-03;66.94999694824219;CL=F
2025-04-04;61.9900016784668;CL=F
2025-04-07;61.18000030517578;CL=F
2025-03-04;32.108001708984375;SI=F
2025-03-05;32.858001708984375;SI=F
2025-03-06;33.0629997253418;SI=F
2025-03-07;32.54800033569336;SI=F
2025-03-10;32.275001525878906;SI=F
2025-03-11;32.88800048828125;SI=F
2025-03-12;33.48400115966797;SI=F
2025-03-13;34.05099868774414;SI=F
2025-03-14;34.1870002746582;SI=F
2025-03-17;34.07400131225586;SI=F
2025-03-18;34.57899856567383;SI=F
2025-03-19;33.974998474121094;SI=F
2025-03-20;33.7859992980957;SI=F
2025-03-21;33.290000915527344;SI=F
2025-03-24;33.26499938964844;SI=F
2025-03-25;34.00199890136719;SI=F
2025-03-26;34.03300094604492;SI=F
2025-03-27;34.89699935913086;SI=F
2025-03-28;34.64400100708008;SI=F
2025-03-31;34.457000732421875;SI=F
2025-04-01;34.15800094604492;SI=F
2025-04-02;34.499000549316406;SI=F
2025-04-03;31.8439998626709;SI=F
2025-04-04;29.115999221801758;SI=F
2025-04-07;30.075000762939453;SI=F
