date,ticker,price
2025-03-09,BTC-USD,80601.0390625
2025-03-10,BTC-USD,78532.0
2025-03-11,BTC-USD,82862.2109375
2025-03-12,BTC-USD,83722.359375
2025-03-13,BTC-USD,81066.703125
2025-03-14,BTC-USD,83969.1015625
2025-03-15,BTC-USD,84343.109375
2025-03-16,BTC-USD,82579.6875
2025-03-17,BTC-USD,84075.6875
2025-03-18,BTC-USD,82718.5
2025-03-19,BTC-USD,86854.2265625
2025-03-20,BTC-USD,84167.1953125
2025-03-21,BTC-USD,84043.2421875
2025-03-22,BTC-USD,83832.484375
2025-03-23,BTC-USD,86054.375
2025-03-24,BTC-USD,87498.9140625
2025-03-25,BTC-USD,87471.703125
2025-03-26,BTC-USD,86900.8828125
2025-03-27,BTC-USD,87177.1015625
2025-03-28,BTC-USD,84353.1484375
2025-03-29,BTC-USD,82597.5859375
2025-03-30,BTC-USD,82334.5234375
2025-03-31,BTC-USD,82548.9140625
2025-04-01,BTC-USD,85169.171875
2025-04-02,BTC-USD,82485.7109375
2025-04-03,BTC-USD,83102.828125
2025-04-04,BTC-USD,83843.8046875
2025-04-05,BTC-USD,83504.796875
2025-04-06,BTC-USD,78214.484375
2025-04-07,BTC-USD,79694.7109375
2025-03-09,DOGE-USD,0.16780300438404083
2025-03-10,DOGE-USD,0.1540600061416626
2025-03-11,DOGE-USD,0.16416600346565247
2025-03-12,DOGE-USD,0.17238099873065948
2025-03-13,DOGE-USD,0.1650650054216385
2025-03-14,DOGE-USD,0.17179900407791138
2025-03-15,DOGE-USD,0.1760679930448532
2025-03-16,DOGE-USD,0.16823500394821167
2025-03-17,DOGE-USD,0.17346499860286713
2025-03-18,DOGE-USD,0.16802899539470673
2025-03-19,DOGE-USD,0.1780650019645691
2025-03-20,DOGE-USD,0.1693509966135025
2025-03-21,DOGE-USD,0.16706199944019318
2025-03-22,DOGE-USD,0.16734300553798676
2025-03-23,DOGE-USD,0.17225299775600433
2025-03-24,DOGE-USD,0.18288899958133698
2025-03-25,DOGE-USD,0.1909099966287613
2025-03-26,DOGE-USD,0.19479799270629883
2025-03-27,DOGE-USD,0.19049499928951263
2025-03-28,DOGE-USD,0.18018999695777893
2025-03-29,DOGE-USD,0.16956500709056854
2025-03-30,DOGE-USD,0.16631899774074554
2025-03-31,DOGE-USD,0.16671499609947205
2025-04-01,DOGE-USD,0.17408600449562073
2025-04-02,DOGE-USD,0.1641950011253357
2025-04-03,DOGE-USD,0.1620599925518036
2025-04-04,DOGE-USD,0.171097993850708
2025-04-05,DOGE-USD,0.16902700066566467
2025-04-06,DOGE-USD,0.14884500205516815
2025-04-07,DOGE-USD,0.15167586505413055
2025-03-09,ETH-USD,2015.5091552734375
2025-03-10,ETH-USD,1861.1513671875
2025-03-11,ETH-USD,1919.844970703125
2025-03-12,ETH-USD,1908.982666015625
