date,ticker,price
2025-02-25,DIA,435.2984924316406
2025-02-26,DIA,433.51190185546875
2025-02-27,DIA,431.52569580078125
2025-02-28,DIA,437.5342102050781
2025-03-03,DIA,431.26617431640625
2025-03-04,DIA,424.7586364746094
2025-03-05,DIA,429.6492919921875
2025-03-06,DIA,425.0879821777344
2025-03-07,DIA,427.4435119628906
2025-03-10,DIA,418.6902160644531
2025-03-11,DIA,413.9492492675781
2025-03-12,DIA,413.1607971191406
2025-03-13,DIA,408.0006408691406
2025-03-14,DIA,414.5680847167969
2025-03-17,DIA,418.4107360839844
2025-03-18,DIA,415.73583984375
2025-03-19,DIA,419.6184387207031
2025-03-20,DIA,419.3190002441406
2025-03-21,DIA,419.6199951171875
2025-03-24,DIA,425.489990234375
2025-03-25,DIA,425.82000732421875
2025-03-26,DIA,424.2300109863281
2025-03-27,DIA,422.94000244140625
2025-03-28,DIA,415.6199951171875
2025-03-31,DIA,419.8800048828125
2025-04-01,DIA,419.5899963378906
2025-04-02,DIA,422.0299987792969
2025-04-03,DIA,405.2200012207031
2025-04-04,DIA,383.2200012207031
2025-04-07,DIA,379.57000732421875
2025-02-25,EFA,82.2300033569336
2025-02-26,EFA,82.33999633789062
2025-02-27,EFA,81.41000366210938
2025-02-28,EFA,81.58000183105469
2025-03-03,EFA,82.4800033569336
2025-03-04,EFA,82.45999908447266
2025-03-05,EFA,84.43000030517578
2025-03-06,EFA,83.55999755859375
2025-03-07,EFA,84.43000030517578
2025-03-10,EFA,82.44000244140625
2025-03-11,EFA,82.16000366210938
2025-03-12,EFA,82.75
2025-03-13,EFA,82.19999694824219
2025-03-14,EFA,83.70999908447266
2025-03-17,EFA,84.6500015258789
2025-03-18,EFA,84.63999938964844
2025-03-19,EFA,84.88999938964844
2025-03-20,EFA,84.18000030517578
2025-03-21,EFA,83.66000366210938
2025-03-24,EFA,83.6500015258789
2025-03-25,EFA,84.11000061035156
2025-03-26,EFA,83.0199966430664
2025-03-27,EFA,83.19999694824219
2025-03-28,EFA,82.45999908447266
2025-03-31,EFA,81.7300033569336
2025-04-01,EFA,81.8499984741211
2025-04-02,EFA,82.04000091552734
2025-04-03,EFA,80.31999969482422
2025-04-04,EFA,75.0199966430664
2025-04-07,EFA,73.20999908447266
2025-02-25,QQQ,512.5556640625
2025-02-26,QQQ,513.7938232421875
2025-02-27,QQQ,499.5250549316406
2025-02-28,QQQ,507.413330078125
2025-03-03,QQQ,496.3098449707031
2025-03-04,QQQ,494.8121032714844
2025-03-05,QQQ,501.2624816894531
2025-03-06,QQQ,487.4730529785156
2025-03-07,QQQ,491.0577087402344
2025-03-10,QQQ,472.0260925292969
2025-03-11,QQQ,470.89776611328125
2025-03-12,QQQ,476.2098693847656
2025-03-13,QQQ,467.6426086425781
2025-03-14,QQQ,478.9457702636719
2025-03-17,QQQ,482.0511169433594
2025-03-18,QQQ,473.8334045410156
2025-03-19,QQQ,480.1739501953125
2025-03-20,QQQ,478.5463562011719
2025-03-21,QQQ,480.1239929199219
2025-03-24,QQQ,490.6600036621094
2025-03-25,QQQ,493.4599914550781
2025-03-26,QQQ,484.3800048828125
2025-03-27,QQQ,481.6199951171875
2025-03-28,QQQ,468.94000244140625
2025-03-31,QQQ,468.9200134277344
2025-04-01,QQQ,472.70001220703125
2025-04-02,QQQ,476.1499938964844
2025-04-03,QQQ,450.6600036621094
2025-04-04,QQQ,422.6700134277344
2025-04-07,QQQ,423.69000244140625
2025-02-25,SPY,592.457763671875
2025-02-26,SPY,592.7568359375
2025-02-27,SPY,583.2952880859375
2025-02-28,SPY,592.39794921875
2025-03-03,SPY,582.0191650390625
2025-03-04,SPY,575.1298828125
2025-03-05,SPY,581.311279296875
2025-03-06,SPY,570.9923706054688
2025-03-07,SPY,574.1926879882812
2025-03-10,SPY,558.8987426757812
2025-03-11,SPY,554.252685546875
2025-03-12,SPY,557.19384765625
2025-03-13,SPY,549.7661743164062
2025-03-14,SPY,561.1220092773438
2025-03-17,SPY,565.4490356445312
2025-03-18,SPY,559.33740234375
2025-03-19,SPY,565.4290771484375
2025-03-20,SPY,563.7940063476562
2025-03-21,SPY,563.97998046875
2025-03-24,SPY,574.0800170898438
2025-03-25,SPY,575.4600219726562
2025-03-26,SPY,568.5900268554688
2025-03-27,SPY,567.0800170898438
2025-03-28,SPY,555.6599731445312
2025-03-31,SPY,559.3900146484375
2025-04-01,SPY,560.969970703125
2025-04-02,SPY,564.52001953125
2025-04-03,SPY,536.7000122070312
2025-04-04,SPY,505.2799987792969
2025-04-07,SPY,504.3800048828125
2025-02-25,VTI,291.9237060546875
2025-02-26,VTI,292.0233459472656
2025-02-27,VTI,287.499267578125
2025-02-28,VTI,291.93365478515625
2025-03-03,VTI,286.7020568847656
2025-03-04,VTI,283.1246337890625
2025-03-05,VTI,286.34332275390625
2025-03-06,VTI,281.02203369140625
2025-03-07,VTI,282.34735107421875
2025-03-10,VTI,274.6544189453125
2025-03-11,VTI,272.7311706542969
2025-03-12,VTI,274.0764465332031
2025-03-13,VTI,270.2299499511719
2025-03-14,VTI,276.01959228515625
2025-03-17,VTI,278.3016052246094
2025-03-18,VTI,275.3021240234375
2025-03-19,VTI,278.43115234375
2025-03-20,VTI,277.76348876953125
2025-03-21,VTI,277.87310791015625
2025-03-24,VTI,283.0150451660156
2025-03-25,VTI,283.4933166503906
2025-03-26,VTI,280.1750183105469
2025-03-27,VTI,278.989990234375
2025-03-28,VTI,273.42999267578125
2025-03-31,VTI,274.8399963378906
2025-04-01,VTI,275.7699890136719
2025-04-02,VTI,277.95001220703125
2025-04-03,VTI,263.9599914550781
2025-04-04,VTI,248.47000122070312
2025-04-07,VTI,247.66000366210938
